DATE,LAT,LONG,HUMANNAME,COUNT,GOLDSTEIN,SAMPLEURL
20130830,33.5,36.3,"Damascus, Dimashq, Syria",12,-9.166666666666666,"http://www.theshillongtimes.com/2013/08/31/britain-says-no-to-syria-intervention-as-united-states-considers-actions/"
20150531,36.2028,37.1586,"Aleppo, ?alab, Syria",12,-9.916666666666666,"http://en.people.cn/n/2015/0531/c90777-8899998.html"
20150616,36.2028,37.1586,"Aleppo, ?alab, Syria",10,-10.0,"http://www.sana.sy/en/?p=45296"
20130828,33.5,36.3,"Damascus, Dimashq, Syria",10,-9.9,"http://www.dailystar.com.lb/News/Middle-East/2013/Aug-28/229051-us-lays-groundwork-for-possible-syria-strike.ashx"
20130914,33.5,36.3,"Damascus, Dimashq, Syria",10,-10.0,"http://macedoniaonline.eu/content/view/23888/25/"
20130904,33.5,36.3,"Damascus, Dimashq, Syria",9,-9.444444444444445,"http://www.kitsapsun.com/news/2013/sep/04/france-action-on-syria-would-balance-situation/"
20130905,33.5,36.3,"Damascus, Dimashq, Syria",9,-10.0,"http://www.christianpost.com/news/syrian-christians-attacked-by-al-qaeda-linked-group-churches-shelled-orphans-flee-to-caves-103842/"
20131104,33.5,36.3,"Damascus, Dimashq, Syria",7,-10.0,"http://www.wsvn.com/news/articles/world/21012126362926/&c=1pmujSPi7BTtbCppWRvU_cUDUzKV2KZbm85WGQFtHvE&mkt=en-us"
20130910,33.5,36.3,"Damascus, Dimashq, Syria",7,-10.0,"http://www.aljazeera.com/indepth/opinion/2013/09/201391011619723114.html"
20130911,33.8442,36.5469,"Maaloula, Rif Dimashq, Syria",7,-10.0,"http://www.boston.com/news/world/europe/2013/09/11/probe-massacres-syria-regime-rebels/8XNao1zGA7xskExf5ebebM/story.html"
20130722,36.2028,37.1586,"Aleppo, ?alab, Syria",7,-10.0,"http://www.oregonlive.com/today/index.ssf/2013/08/syria_chemical_weapons_un_call.html"
20150831,33.5,36.3,"Damascus, Dimashq, Syria",7,-6.428571428571429,"http://www.ndtv.com/world-news/battling-rebels-islamic-state-moves-closer-to-central-damascus-monitor-1212722"
20150604,36.2028,37.1586,"Aleppo, ?alab, Syria",7,-9.857142857142858,"http://www.christiantoday.com/article/halt.syrian.monstrosities.says.archbishop.in.plea.for.western.intervention/55391.htm"
20130911,33.5,36.3,"Damascus, Dimashq, Syria",7,-9.885714285714286,"http://www.citybeat.com/cincinnati/article-28566-curmudgeon_notes_090.html"
20130824,33.5,36.3,"Damascus, Dimashq, Syria",6,-7.833333333333333,"http://www.wnd.com/2013/08/chemical-weapons-fired-by-assads-brothers-unit/?cat_orig=world"
20130831,33.5,36.3,"Damascus, Dimashq, Syria",6,-10.0,"http://www.philly.com/philly/wires/ap/news/nation/washington/20130831_ap_aca930fe997d46c28a8eb3a254df54bf.html"
20150502,36.2028,37.1586,"Aleppo, ?alab, Syria",6,-10.0,"http://www.9news.com.au/world/2015/05/02/18/03/52-syrian-civilians-killed-by-coalition"
20140817,36.5866,37.0463,"Aazaz, ?alab, Syria",6,-7.5,"http://www.saudigazette.com.sa/index.cfm?contentid=20140818215015&method=home.regcon"
20130909,33.5,36.3,"Damascus, Dimashq, Syria",6,-10.0,"http://www.globalsecurity.org/wmd/library/news/syria/2013/syria-130909-afps01.htm"
20150317,33.5,36.3,"Damascus, Dimashq, Syria",6,-8.833333333333334,"http://www.dw.de/six-killed-in-alleged-gas-attack-in-syria/a-18320438"
20130829,33.5,36.3,"Damascus, Dimashq, Syria",6,-10.0,"http://www.voanews.com/content/un-chief-urges-west-to-await-syria-report/1739359.html"
20130915,33.5,36.3,"Damascus, Dimashq, Syria",5,-10.0,"http://www.naharnet.com/stories/en/98242-jihadists-claim-killing-homs-alawites-mortar-hits-near-damascus-provincial-hq"
20130608,33.4248,36.3211,"Buwayda, Rif Dimashq, Syria",5,-9.5,"http://timesofindia.indiatimes.com/world/middle-east/Syrian-forces-capture-final-rebel-stronghold-in-Qusair-region/articleshow/20495146.cms"
20150102,36.2028,37.1586,"Aleppo, ?alab, Syria",5,-10.0,"http://nationalinterest.org/feature/5-peace-talks-failed-2014-11955"
20150318,35.904,36.725,"Sarmin, Idlib, Syria",5,-10.0,"http://securitymiddleeast.com/2015/03/17/mena-daily-brief-17-march-15/"
20150901,33.5,36.3,"Damascus, Dimashq, Syria",5,-7.0,"http://middle-east-online.com/english/?id=72937"
20140916,33.5,36.3,"Damascus, Dimashq, Syria",5,-9.8,"Zaman al-Wasl website, Doha/BBC Monitoring/(c) BBC"
20150722,36.2028,37.1586,"Aleppo, ?alab, Syria",5,-9.9,"http://www.middle-east-online.com/english/?id=72339"
20150305,36.2013,37.1759,"Qadi Askar, ?alab, Syria",5,-10.0,"http://www.dailystar.com.lb/News/Middle-East/2015/Mar-06/289826-nusra-fronts-top-military-brass-killed-in-idlib.ashx"
20130910,33.8442,36.5469,"Maaloula, Rif Dimashq, Syria",5,-10.0,"http://www.boston.com/news/world/middle-east/2013/09/10/rights-group-syrian-regime-behind-chemical-attack/aS5rNEAd8u8hF7CCZSH95K/story.html"
20140429,33.5,36.3,"Damascus, Dimashq, Syria",5,-10.0,"http://www.globalpost.com/dispatches/news/regions/middle-east/day-1139-boys-trip-the-hospital"
20150505,33.8,36.4333,"Qalamoun, Rif Dimashq, Syria",5,-7.0,"http://mynorthwest.com/17/2757007/Hezbollah-captures-Syrian-village-from-Islamic-militants"
20130822,33.5,36.3,"Damascus, Dimashq, Syria",5,-10.0,"http://www.huffingtonpost.co.uk/2013/08/22/syria-red-line_n_3793645.html?utm_hp_ref=uk-politics?ncid=GEP"
20140507,36.2028,37.1586,"Aleppo, ?alab, Syria",5,-9.6,"http://en.trend.az/regions/met/arabicr/2271735.html"
20150626,35.5148,35.7768,"Latakia, Al Ladhiqiyah, Syria",5,-10.0,"http://www.ptinews.com/news/6192821_IS-raids-kill-40-Syrian-regime-forces--monitor-.html"
20130408,36.2028,37.1586,"Aleppo, ?alab, Syria",5,-10.0,"http://www.iol.co.za/news/world/suicide-car-bomber-kills-15-in-damascus-1.1497253"
20140320,32.7359,35.7441,"Wadi Khaled, Al Qunaytirah, Syria",5,-10.0,"http://www.omantribune.com/index.php?page=news_main_page&id=2660"
20150601,36.2028,37.1586,"Aleppo, ?alab, Syria",5,-10.0,"http://www.menafn.com/1094231793/UN-envoy-decries-Syria-regime-raids-as-dozens-killed"
20150216,36.2028,37.1586,"Aleppo, ?alab, Syria",5,-9.6,"http://www.almanar.com.lb/english/adetails.php?eid=195886&cid=23&fromval=1"
20150709,33.5,36.3,"Damascus, Dimashq, Syria",5,-9.7,"http://www.islamicinvitationturkey.com/2015/07/09/syrian-army-kills-35-isil-terrorists-near-palmyra/"
20140421,36.2028,37.1586,"Aleppo, ?alab, Syria",5,-10.0,"http://www.dailymail.co.uk/news/article-2609711/Syria-burning-Assad-orders-ELECTION-critics-say-simply-rig.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490"
20130924,35.9306,36.6339,"Idlib, Idlib, Syria",5,-10.0,"http://www.dawn.com/news/1045109/from-around-the-globe"
20130723,36.2028,37.1586,"Aleppo, ?alab, Syria",5,-8.0,"http://www.khsltv.com/content/localnews/story/U-N-calls-for-probe-of-alleged-Syria-gas-attack/LaxzEOulf0uhwN3Lv3kWZw.cspx"
20140420,33.5,36.3,"Damascus, Dimashq, Syria",5,-10.0,"http://voiceofrussia.com/news/2014_04_20/Violence-intensifies-as-Syria-braces-for-presidential-elections-5568/"
20130810,36.2028,37.1586,"Aleppo, ?alab, Syria",5,-9.9,"http://www.iran-daily.com/1392/5/20/MainPaper/4603/Page/3/?NewsID=98583"
20130731,36.2028,37.1586,"Aleppo, ?alab, Syria",5,-9.5,"http://www.thehindu.com/news/international/world/village-near-aleppo-comes-under-syrian-army-attack/article4973732.ece"
20130811,36.2028,37.1586,"Aleppo, ?alab, Syria",5,-9.9,"http://www.focus-fen.net/index.php?id=n312600"
20141120,33.5,36.3,"Damascus, Dimashq, Syria",5,-10.0,"http://www.huffingtonpost.co.uk/robin-lustig/iraq-isis-vote_b_5886462.html"
20141229,35.3359,40.1408,"Deir Ezzor, Dayr az Zawr, Syria",4,-10.0,"http://english.al-akhbar.com/node/23051"
20131022,33.5,36.3,"Damascus, Dimashq, Syria",4,-10.0,"http://www.allvoices.com/contributed-news/15799061-syrian-coalition-we-will-not-attend-genevaii-if-it-is-not-to-oust-alassad"
20150707,36.2028,37.1586,"Aleppo, ?alab, Syria",4,-10.0,"http://www.almanar.com.lb/english/adetails.php?eid=219888&cid=23&fromval=1"
20130925,35.9306,36.6339,"Idlib, Idlib, Syria",4,-10.0,"http://www.majalla.com/eng/2013/09/article55245598"
20150812,33.5,36.3,"Damascus, Dimashq, Syria",4,-10.0,"http://www.themalaymailonline.com/world/article/four-killed-58-wounded-by-rebel-rockets-in-damascus-says-syrian-ministry"
20140704,36.2028,37.1586,"Aleppo, ?alab, Syria",4,-9.625,"http://en.cihan.com.tr/news/ISIL-gains-control-of-another-village-at-Turkey-border_3403-CHMTQ5MzQwMy8kbmV3c01hcFZhbHVlLntjYXRlZ29yeS5pZH0="
20140827,33.5,36.3,"Damascus, Dimashq, Syria",4,-8.5,"http://www.washingtonpost.com/blogs/worldviews/wp/2014/08/27/how-all-sides-are-committing-war-crimes-in-syria/"
20140530,36.2028,37.1586,"Aleppo, ?alab, Syria",4,-10.0,"http://www.almanar.com.lb/english/adetails.php?eid=154119&cid=23&fromval=1"
20150512,36.2028,37.1586,"Aleppo, ?alab, Syria",4,-10.0,"http://www.albawaba.com/news/regime-bomb-attacks-aleppo-kill-least-20-civilians-693770"
20150704,36.2028,37.1586,"Aleppo, ?alab, Syria",4,-9.875,"http://www.dw.com/en/fighting-rages-for-control-of-syrias-aleppo-zabadani/a-18561590"
20130920,36.2028,37.1586,"Aleppo, ?alab, Syria",4,-10.0,"http://www.dailystar.com.lb/News/Middle-East/2013/Sep-21/232025-christian-hostel-in-aleppo-has-own-view-of-jihadist-rebels.ashx"
20130612,35.3318,40.193,"Hatla, Dayr az Zawr, Syria",4,-9.8,"http://www.aljazeera.com/news/middleeast/2013/06/201361294148169694.html"
20131223,36.2028,37.1586,"Aleppo, ?alab, Syria",4,-10.0,"http://www.pekintimes.com/article/20131223/NEWS/131229710/-1/news"
20131010,32.6189,36.1021,"Deraa, Dar‘a, Syria",4,-10.0,"http://al-shorfa.com/en_GB/articles/meii/newsbriefs/2013/10/10/newsbrief-02"
20130426,33.5,36.3,"Damascus, Dimashq, Syria",4,-10.0,"http://www.foxnews.com/world/2013/04/26/syrian-activists-reporting-heavy-fighting-in-northern-damascus-neighborhoods/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+foxnews%2Fworld+%28Internal+-+World+Latest+-+Text%29"
