date,number
12/06/30,924
12/07/31,1313
12/08/21,1554
12/08/27,1567
12/08/31,1695
12/09/04,1704
12/09/11,2099
12/09/18,2588
12/09/26,3869
12/10/01,3767
12/10/23,5530
12/10/30,5639
12/11/07,6097
12/11/13,6499
12/11/19,7728
12/11/27,8125
12/12/04,8858
12/12/11,10169
12/12/16,10474
12/12/18,10747
12/12/19,10823
12/12/22,11098
12/12/23,11190
12/12/24,11260
12/12/26,11280
12/12/27,11673
12/12/28,12219
12/12/29,12836
12/12/30,12915
12/12/31,13001
13/01/02,13059
13/01/06,13109
13/01/08,13192
13/01/09,13292
13/01/13,13556
13/01/14,13684
13/01/17,13874
13/01/20,13963
13/01/21,14060
13/01/22,14156
13/01/23,14248
13/01/27,14312
13/01/28,14375
13/01/29,14441
13/01/30,14478
13/02/02,14801
13/02/03,14878
13/02/04,14977
13/02/05,15057
13/02/09,16150
13/02/10,16195
13/02/11,16244
13/02/12,16308
13/02/13,16363
13/02/14,16910
13/02/15,17454
13/02/16,18139
13/02/17,18170
13/02/18,18245
13/02/19,18306
13/02/20,18404
13/02/21,18958
13/02/22,19591
13/02/24,19689
13/02/25,20064
13/02/26,20184
13/02/27,20292
13/02/28,20302
13/03/03,20531
13/03/05,20665
13/03/06,20743
13/03/12,21149
13/03/13,21442
13/03/14,21758
13/03/17,22522
13/03/19,23284
13/03/20,23568
13/03/21,23934
13/03/24,25604
13/03/25,26003
13/03/26,26412
13/03/27,26891
13/03/28,27295
13/03/31,27798
13/04/01,27857
13/04/02,28782
13/04/03,29786
13/04/04,31459
13/04/05,32297
13/04/07,34197
13/04/08,35054
13/04/12,36904
13/04/14,37126
13/04/15,37361
13/04/16,37657
13/04/17,38035
13/04/18,38416
13/04/22,38998
13/04/23,39273
13/04/30,45032
13/05/07,46502
13/05/12,47499
13/05/13,47927
13/05/15,48429
13/05/19,50372
13/05/20,50784
13/05/21,51171
13/05/22,51491
13/05/23,51917
13/05/26,52430
13/05/27,55378
13/05/28,56060
13/06/03,57467
13/06/04,57787
13/06/09,59885
13/06/12,62105
13/06/20,65726
13/06/23,66692
13/06/25,68492
13/06/26,69207
13/07/08,70140
13/07/10,71276
13/07/13,72083
13/07/15,73547
13/07/17,75456
13/07/23,78352
13/07/28,80603
13/07/31,83286
13/08/07,86679
13/08/13,88105
13/08/19,89555
13/08/22,90728
13/08/26,92260
13/08/27,93495
13/08/28,94490
13/08/29,95578
13/09/01,96383
13/09/02,97018
13/09/16,104703
13/09/17,105153
13/09/22,111175
13/10/02,120548
13/10/08,122350
13/10/09,122667
13/10/10,122794
13/10/13,123229
13/10/14,123296
13/10/17,123239
13/10/20,123515
13/10/21,123729
13/10/22,123949
13/10/23,124094
13/10/24,124231
13/10/27,124340
13/10/28,124535
13/10/30,125374
13/11/03,125631
13/11/06,125804
13/11/07,125898
13/11/10,126166
13/11/12,126442
13/11/13,126632
13/11/14,126770
13/11/17,127304
13/11/18,127409
13/11/19,127495
13/11/20,127605
13/11/21,127733
13/11/24,127876
13/11/25,127971
13/11/26,128158
13/12/03,128843
13/12/04,128967
13/12/08,129174
13/12/09,129289
13/12/10,129407
13/12/11,129486
13/12/12,129618
13/12/15,130524
13/12/16,130720
13/12/17,130841
13/12/23,131086
13/12/24,131191
13/12/26,131316
13/12/30,131599
14/01/02,131707
14/01/09,132238
14/01/12,132356
14/01/14,132383
14/01/19,132415
14/01/20,132504
14/01/21,132598
14/01/22,132670
14/01/23,132740
14/01/26,132749
14/01/27,132799
14/01/28,132849
14/01/29,132877
14/01/30,133023
14/02/02,133145
14/02/03,133251
14/02/04,133267
14/02/06,133379
14/02/09,133435
14/02/10,133529
14/02/11,133608
14/02/12,133648
14/02/13,133727
14/02/16,133815
14/02/17,133881
14/02/18,133924
14/02/19,134014
14/02/20,134112
14/02/23,134255
14/02/24,134358
14/02/25,134450
14/02/26,134534
14/03/02,134694
14/03/03,134779
14/03/04,134823
14/03/05,134854
14/03/06,134914
14/03/10,135031
14/03/12,135030
14/03/17,135140
14/03/19,135289
14/03/20,135302
14/03/23,135336
14/03/24,135378
14/03/25,135410
14/03/26,135451
14/03/27,135499
14/03/30,135577
14/03/31,135645
14/04/01,135684
14/04/02,135841
14/04/03,135853
14/04/06,135905
14/04/07,135977
14/04/08,136045
14/04/09,136094
14/04/10,136067
14/04/13,136119
14/04/14,136236
14/04/15,136307
14/04/16,136424
14/04/17,136375
14/04/22,136438
14/04/23,136512
14/04/27,136624
14/04/28,136654
14/04/29,136724
14/04/30,136807
14/05/04,136855
14/05/05,137045
14/05/06,137063
14/05/07,137086
14/05/11,137096
14/05/12,137123
14/05/14,137088
14/05/15,137056
14/05/19,137430
14/05/20,137566
14/05/21,137560
14/05/22,137515
14/05/25,137444
14/05/26,137460
14/05/28,137454
14/06/01,137472
14/06/02,137532
14/06/03,137539
14/06/04,137555
14/06/05,137531
14/06/09,137632
14/06/10,137679
14/06/11,137734
14/06/15,137788
14/06/16,137828
14/06/17,137916
14/06/18,137919
14/06/19,137906
14/06/23,137994
14/06/25,138086
14/06/26,138101
14/06/29,138131
14/06/30,138151
14/07/01,138159
14/07/06,138245
14/07/08,138290
14/07/09,138283
14/07/14,138274
14/07/15,138289
14/07/16,138292
14/07/17,138321
14/07/20,138306
14/07/21,138386
14/07/22,138387
14/07/23,138407
14/07/24,138347
14/08/03,138267
14/08/04,138310
14/08/05,138350
14/08/06,138373
14/08/10,138457
14/08/11,138528
14/08/12,138573
14/08/13,138616
14/08/17,138735
14/08/18,138758
14/08/19,138805
14/08/20,138844
14/08/21,138885
14/08/24,138936
14/08/25,138937
14/08/26,138975
14/08/27,139040
14/08/28,139090
14/08/31,139209
14/09/01,139253
14/09/02,139289
14/09/03,139311
14/09/04,139333
14/09/07,139403
14/09/08,139430
14/09/09,139462
14/09/10,139501
14/09/14,139625
14/09/15,139657
14/09/16,139692
14/09/17,139734
14/09/18,139775
14/09/21,139794
14/09/22,139825
14/09/23,139821
14/09/24,139835
14/09/28,139887
14/09/29,139908
14/09/30,139936
14/10/01,139930
14/10/02,139929
14/10/07,139942
14/10/08,139922
14/10/09,139954
14/10/12,140026
14/10/13,140024
14/10/14,140023
14/10/20,140100
14/10/21,140133
14/10/22,140130
14/11/10,140247
14/10/28,140273
14/10/30,140289
14/11/02,140115
14/11/03,140105
14/11/05,140103
14/11/06,140104
14/11/09,140221
14/11/12,140240
14/11/13,140259
14/11/17,140406
14/11/23,140649
14/11/25,138543
14/12/01,137504
14/12/10,137671
14/12/16,137812
14/12/31,138212
15/01/12,136717
15/02/02,136661
15/03/17,133516
15/03/22,133619
15/04/14,133862
15/05/06,134329
15/07/05,132375
15/09/30,128019
15/10/31,127681
