date,number
12/01/31,8
12/02/29,180
12/03/31,335
12/04/25,2329
12/05/02,2970
12/05/09,3171
12/05/17,3673
12/05/24,4038
12/05/31,4413
12/06/05,4549
12/06/14,4941
12/06/21,5258
12/06/26,5839
12/07/06,6163
12/07/10,6545
12/07/11,6547
12/07/20,7490
12/07/25,8445
12/08/08,9053
12/08/10,9773
12/08/17,10734
12/08/25,15898
12/08/31,18682
12/09/07,21744
12/09/10,22563
12/09/12,24464
12/09/13,25508
12/09/20,25976
12/09/21,29441
12/09/28,33704
12/10/05,36500
12/10/12,39036
12/10/16,40911
12/10/19,41955
12/10/24,43813
12/10/31,45781
12/11/05,47522
12/11/06,48322
12/11/07,48963
12/11/12,51142
12/11/18,54106
12/11/21,56913
12/11/26,58814
12/11/28,60224
12/12/02,62065
12/12/05,63402
12/12/09,64355
12/12/10,64679
12/12/11,65010
12/12/12,65433
12/12/16,65954
12/12/18,66335
12/12/19,66437
12/12/23,66807
12/12/24,66714
12/12/26,66920
12/12/30,67306
12/12/31,67625
13/01/03,67958
13/01/05,68244
13/01/06,68550
13/01/07,68953
13/01/08,69187
13/01/09,69302
13/01/10,69771
13/01/12,69733
13/01/13,70440
13/01/15,72385
13/01/16,73055
13/01/17,73049
13/01/20,74781
13/01/21,75780
13/01/22,76579
13/01/23,77304
13/01/28,79358
13/01/30,80919
13/02/03,82460
13/02/04,83199
13/02/05,83843
13/02/06,84737
13/02/10,87057
13/02/11,88028
13/02/12,89237
13/02/13,90334
13/02/17,92408
13/02/18,93576
13/02/19,94873
13/02/20,96097
13/02/25,100049
13/02/27,102649
13/03/03,105431
13/03/05,107271
13/03/09,109800
13/03/10,110663
13/03/12,112945
13/03/13,114235
13/03/17,115648
13/03/18,116875
13/03/20,117906
13/03/23,117851
13/03/24,118213
13/03/25,119363
13/03/26,120369
13/03/27,121320
13/04/01,124253
13/04/02,125385
13/04/03,125864
13/04/06,126440
13/04/07,127136
13/04/09,127775
13/04/10,128845
13/04/11,129590
13/04/13,129362
13/04/14,130379
13/04/15,131551
13/04/16,132693
13/04/17,132870
13/04/18,133887
13/04/20,133840
13/04/21,134915
13/04/22,135842
13/04/23,136914
13/04/24,137657
13/04/29,140172
13/04/30,140873
13/05/02,141702
13/05/05,142395
13/05/06,143177
13/05/07,144016
13/05/08,144586
13/05/09,144996
13/05/12,145761
13/05/13,146419
13/05/14,146951
13/05/15,147464
13/05/16,148155
13/05/18,148117
13/05/20,151195
13/05/21,151970
13/05/22,151966
13/05/23,152885
13/05/26,153355
13/05/27,153675
13/05/28,153976
13/05/29,154223
13/05/30,154372
13/06/03,154932
13/06/04,155139
13/06/06,158458
13/06/09,158669
13/06/10,158866
13/06/11,159017
13/06/12,159196
13/06/13,159393
13/06/17,158573
13/06/18,158663
13/06/20,158780
13/06/23,158940
13/06/24,159059
13/06/25,159140
13/06/26,159286
13/06/30,159384
13/07/01,159465
13/07/03,159773
13/07/04,159784
13/07/07,160149
13/07/08,160365
13/07/09,160632
13/07/11,160789
13/07/15,161264
13/07/16,161476
13/07/17,161652
13/07/18,161307
13/07/21,161697
13/07/22,162082
13/07/23,159792
13/07/25,160129
13/07/28,160335
13/08/01,160351
13/08/04,160682
13/08/05,160997
13/08/06,154595
13/08/12,154658
13/08/13,154935
13/08/24,154944
13/08/25,156149
13/08/29,157790
13/09/01,158461
13/09/16,161500
13/09/18,162025
13/09/19,162317
13/09/23,161868
13/09/24,162136
13/09/26,163002
13/09/29,163371
13/09/30,163385
13/10/01,163988
13/10/02,164398
13/10/03,163569
13/10/06,164009
13/10/07,163489
13/10/08,163966
13/10/09,164387
13/10/10,164770
13/10/13,164944
13/10/20,165402
13/10/21,165686
13/10/22,165945
13/11/05,199986
13/11/10,201296
13/11/12,202040
13/11/17,202976
13/11/20,206632
13/11/26,207473
13/11/27,208054
13/12/02,206212
13/12/04,207121
13/12/12,209460
13/12/18,210612
14/01/06,213223
14/01/22,216271
14/01/27,217144
14/02/05,222745
14/02/10,222574
14/02/23,224539
14/02/28,225548
14/03/05,226934
14/03/23,221791
14/03/30,219579
14/04/15,221316
14/04/30,223113
14/05/15,225409
14/06/15,225475
14/06/30,220210
14/07/15,217192
14/07/31,218040
14/08/15,217886
14/08/26,215369
14/09/02,214935
14/09/15,214372
14/09/30,215387
14/10/15,219446
14/10/21,222468
14/10/31,223923
14/11/15,227191
14/11/30,228484
14/12/15,231843
14/12/31,233625
15/01/15,235563
15/01/31,238688
15/02/15,242468
15/02/28,244731
15/03/15,246836
15/03/31,247861
15/05/05,248367
15/05/15,248203
15/05/31,249266
15/06/15,249566
15/06/30,249726
15/07/15,251499
15/07/31,251690
15/08/15,250408
15/08/29,249463
15/09/13,248503
15/09/28,247352
15/10/15,245585
15/10/27,245134
