date,number
12/01/19,2749
12/01/24,2886
12/01/31,3063
12/02/14,4013
12/03/01,4205
12/03/15,5391
12/03/22,5886
12/03/31,6529
12/04/16,9500
12/04/21,10189
12/04/23,11748
12/04/25,12034
12/04/30,13854
12/05/01,13938
12/05/03,14252
12/05/06,14578
12/05/07,15108
12/05/08,15344
12/05/09,15698
12/05/14,16919
12/05/16,17556
12/05/20,18521
12/05/21,19011
12/05/23,19883
12/05/27,20576
12/05/28,20982
12/05/29,21432
12/05/30,21778
12/06/05,22643
12/06/07,22976
12/06/10,23757
12/06/11,24151
12/06/21,26371
12/06/24,26731
12/06/25,26941
12/06/26,27344
12/07/03,28934
12/07/10,31047
12/07/11,31299
12/07/12,31873
12/07/15,32262
12/07/16,32841
12/07/19,34499
12/07/22,34736
12/07/24,35911
12/07/25,36323
12/07/26,36600
12/07/29,36824
12/08/01,37615
12/08/02,37448
12/08/07,39600
12/08/15,42720
12/08/16,42934
12/08/23,43962
12/08/26,44440
12/08/27,44924
12/08/28,45287
12/08/29,45751
12/08/30,46111
12/09/02,46703
12/09/03,47121
12/09/05,48014
12/09/06,48315
12/09/09,48839
12/09/10,49236
12/09/16,50689
12/09/18,51417
12/09/19,51962
12/09/20,52352
12/09/23,52634
12/09/24,52866
12/09/25,53299
12/09/27,53833
12/09/30,54448
12/10/02,55121
12/10/03,55462
12/10/10,57092
12/10/11,57379
12/10/16,58005
12/10/17,58320
12/10/21,58622
12/10/23,59524
12/10/24,60089
12/11/01,60630
12/11/05,61086
12/11/06,61356
12/11/08,62099
12/11/11,62248
12/11/12,87167
12/11/14,88026
12/11/18,91064
12/11/22,93497
12/11/23,93990
12/11/25,94492
12/11/27,94566
12/11/28,95844
12/11/29,96578
12/11/30,96982
12/12/02,97639
12/12/03,98046
12/12/04,98710
12/12/05,98548
12/12/06,99007
12/12/08,99821
12/12/09,100368
12/12/10,100787
12/12/11,101760
12/12/12,102199
12/12/13,102753
12/12/14,103698
12/12/16,105397
12/12/17,106724
12/12/19,108430
12/12/20,109230
12/12/21,110631
12/12/23,111962
12/12/24,112379
12/12/27,114819
12/12/28,115548
12/12/29,116280
12/12/30,116778
12/12/31,117321
13/01/03,120018
13/01/06,126133
13/01/08,128628
13/01/14,131113
13/01/15,132030
13/01/16,134015
13/01/17,135732
13/01/18,137257
13/01/20,142005
13/01/21,145119
13/01/22,147768
13/01/23,151112
13/01/27,162262
13/01/28,167444
13/01/29,171033
13/01/30,174831
13/01/31,178260
13/02/03,181793
13/02/04,184199
13/02/05,186880
13/02/06,189988
13/02/07,193258
13/02/10,199078
13/02/11,201942
13/02/12,204689
13/02/17,216899
13/02/18,219067
13/02/19,221857
13/02/20,224794
13/02/21,231751
13/02/22,285856
13/03/11,340524
13/03/13,346577
13/03/17,354235
13/03/25,370391
13/03/26,373138
13/03/27,376661
13/03/28,385545
13/04/01,394876
13/04/02,398961
13/04/03,401610
13/04/05,404739
13/04/07,408268
13/04/08,412105
13/04/09,415163
13/04/10,418008
13/04/11,421547
13/04/14,424771
13/04/15,432263
13/04/16,436883
13/04/17,440235
13/04/18,456261
13/04/21,462662
13/04/22,467213
13/04/23,469725
13/04/24,471146
13/04/25,473827
13/05/09,431799
13/05/13,458272
13/05/14,452929
13/05/15,468999
13/05/16,470909
13/05/19,471368
13/05/21,480174
13/05/22,482878
13/05/23,488819
13/05/27,483592
13/05/28,485023
13/05/29,487308
13/05/30,489221
13/06/03,468160
13/06/04,470573
13/06/05,472631
13/06/10,474669
13/06/11,471188
13/06/12,477455
13/06/13,479429
13/06/16,472292
13/06/17,473784
13/06/18,475761
13/06/19,478007
13/06/20,480254
13/06/23,486175
13/06/24,487543
13/06/25,489651
13/06/26,491780
13/06/27,494021
13/06/30,491365
13/07/01,490880
13/07/02,495127
13/07/03,496913
13/07/04,498877
13/07/07,501668
13/07/08,498529
13/07/09,498947
13/07/10,501330
13/07/11,487916
13/07/14,495431
13/07/15,486972
13/07/17,500579
13/07/18,501057
13/07/22,502196
13/07/24,505347
13/07/25,506505
13/07/29,507988
13/07/30,511326
13/07/31,512998
13/08/01,514803
13/08/05,517683
13/08/06,517139
13/08/07,520470
13/08/12,521226
13/08/13,515225
13/08/14,516449
13/08/18,510820
13/08/20,516990
13/08/21,518280
13/08/22,523059
13/08/26,517168
13/08/27,520287
13/08/28,515512
13/08/29,515842
13/09/01,515012
13/09/02,519676
13/09/18,531768
13/09/19,531908
13/09/22,522588
13/09/23,523607
13/09/24,525264
13/09/25,525231
13/10/03,534418
13/10/06,536405
13/10/08,538747
13/10/09,539891
13/10/10,540656
13/10/14,543199
13/10/17,544392
13/10/22,547274
13/10/23,549092
13/10/24,549575
13/10/28,552061
13/10/29,552048
13/10/30,541025
13/11/03,543183
13/11/05,544374
13/11/11,548780
13/11/12,549617
13/11/14,550385
13/11/17,551644
13/11/18,552460
13/11/19,553311
13/11/26,557657
13/11/27,559356
13/11/28,560059
13/12/03,563008
13/12/04,563263
13/12/05,563706
13/12/09,566303
13/12/10,567111
13/12/18,568501
13/12/19,569003
13/12/31,576354
14/01/15,582166
14/01/20,589045
14/01/23,590749
14/01/26,591862
14/01/27,592623
14/01/28,592864
14/01/29,593186
14/02/02,593693
14/02/04,591922
14/02/06,596800
14/02/09,597937
14/02/10,598690
14/02/13,571457
14/02/18,573425
14/02/20,574410
14/02/23,576428
14/02/25,577786
14/03/05,581535
14/03/06,582080
14/03/09,584406
14/03/10,584600
14/03/23,587308
14/03/30,588979
14/04/06,588980
14/04/07,590515
14/04/10,589792
14/04/29,595369
14/04/30,594258
14/05/04,593346
14/05/20,596062
14/05/30,599458
14/06/01,599408
14/06/04,594381
14/06/05,595082
14/06/08,597328
14/06/26,599461
14/07/01,604868
14/07/03,605270
14/07/07,605526
14/07/08,605660
14/07/09,605719
14/07/15,606653
14/07/16,606716
14/07/20,606993
14/07/21,607193
14/07/23,607443
14/07/24,607500
14/07/27,607878
14/07/30,608373
14/07/31,608534
14/08/03,608889
14/08/07,609376
14/08/11,609692
14/08/21,611685
14/08/26,612737
14/08/28,613252
14/09/03,614819
14/09/07,615546
14/09/09,615792
14/09/18,618086
14/09/29,619163
14/10/08,619306
14/10/09,619376
14/10/28,618508
14/11/11,618420
14/11/20,618615
14/12/07,620441
14/12/29,623001
14/12/30,622865
15/01/04,623338
15/01/05,622672
15/01/06,622682
15/01/07,622384
15/01/13,622397
15/01/14,622324
15/01/15,622287
15/01/18,622405
15/01/19,622380
15/01/20,622045
15/01/21,622173
15/01/22,621773
15/01/26,621918
15/02/03,622106
15/02/08,619315
15/02/09,619318
15/02/11,619102
15/02/12,619160
15/02/15,616589
15/02/16,622586
15/02/22,623060
15/02/23,623241
15/02/24,623289
15/02/25,623447
15/03/01,623908
15/03/02,623974
15/03/04,624244
15/03/05,624325
15/03/08,624513
15/03/10,624854
15/03/11,624961
15/03/12,625177
15/03/15,625598
15/03/17,626136
15/03/18,626357
15/03/22,626905
15/03/23,626932
15/03/24,627010
15/03/26,627295
15/04/08,628427
15/05/06,627287
15/05/28,628160
15/06/17,629128
15/08/13,630099
15/08/16,630224
15/08/23,629245
15/09/06,629266
15/09/17,628887
15/10/04,628175
15/10/19,629627
15/11/02,630776
15/11/17,633644
