date,number
12/16/2011,8000
1/15/2012,9500
1/19/2012,12249
1/24/2012,12386
1/27/2012,18676
1/31/2012,18861
2/10/2012,18704
2/14/2012,19654
2/17/2012,20043
2/24/2012,20437
2/29/2012,21767
3/1/2012,21959
3/2/2012,22101
3/7/2012,22131
3/15/2012,23317
3/16/2012,24142
3/22/2012,25334
3/29/2012,25830
3/31/2012,26628
4/16/2012,29599
4/18/2012,45011
4/20/2012,45183
4/21/2012,45183
4/23/2012,46589
4/24/2012,46959
4/25/2012,54978
4/26/2012,55754
4/27/2012,56116
4/30/2012,58670
5/1/2012,58754
5/2/2012,59350
5/3/2012,59841
5/6/2012,60167
5/7/2012,60410
5/8/2012,60736
5/9/2012,61291
5/11/2012,62133
5/14/2012,63354
5/16/2012,64551
5/17/2012,65445
5/20/2012,66410
5/21/2012,66667
5/23/2012,67539
5/24/2012,68311
5/27/2012,69004
5/28/2012,69410
5/29/2012,69860
5/30/2012,70206
5/31/2012,71749
6/1/2012,73630
6/4/2012,75444
6/5/2012,76445
6/6/2012,76778
6/7/2012,78579
6/10/2012,79360
6/11/2012,79754
6/12/2012,80878
6/14/2012,82904
6/21/2012,87269
6/22/2012,91998
6/24/2012,92358
6/25/2012,92814
6/26/2012,94497
6/27/2012,95991
6/29/2012,97378
6/30/2012,98302
7/3/2012,99892
7/4/2012,101912
7/5/2012,103474
7/6/2012,104196
7/10/2012,106691
7/11/2012,106945
7/12/2012,110879
7/14/2012,111268
7/15/2012,111268
7/16/2012,111847
7/18/2012,115014
7/19/2012,115014
7/20/2012,122304
7/22/2012,122541
7/23/2012,123246
7/24/2012,124421
7/25/2012,126380
7/26/2012,126657
7/29/2012,126881
7/30/2012,128081
7/31/2012,129857
8/1/2012,130780
8/2/2012,130613
8/3/2012,130820
8/6/2012,131307
8/7/2012,133843
8/8/2012,137106
8/9/2012,138410
8/10/2012,142658
8/14/2012,153028
8/15/2012,158201
8/16/2012,158716
8/17/2012,159677
8/21/2012,160616
8/22/2012,169949
8/23/2012,175573
8/24/2012,175893
8/25/2012,181057
8/26/2012,181535
8/27/2012,186735
8/28/2012,187956
8/29/2012,190154
8/30/2012,193513
8/31/2012,199471
9/2/2012,200063
9/3/2012,205027
9/4/2012,206353
9/5/2012,208140
9/6/2012,208665
9/7/2012,211932
9/9/2012,212456
9/10/2012,212882
9/11/2012,213671
9/12/2012,218087
9/13/2012,219925
9/14/2012,220712
9/16/2012,222165
9/17/2012,223258
9/18/2012,225100
9/19/2012,226414
9/20/2012,231575
9/21/2012,235539
9/23/2012,235821
9/24/2012,237653
9/25/2012,238835
9/26/2012,241177
9/27/2012,246131
9/28/2012,250791
9/30/2012,251406
10/1/2012,252758
10/2/2012,254278
10/3/2012,255582
10/4/2012,262423
10/5/2012,265360
