date,number
11/12/16,8000
12/01/15,9500
12/02/29,10658
12/04/18,23955
12/04/23,23702
12/04/25,29441
12/04/26,29082
12/05/02,29037
12/05/07,28750
12/05/21,28517
12/06/01,30172
12/06/04,31986
12/06/12,33110
12/06/22,37839
12/06/25,38085
12/06/26,38784
12/07/04,40804
12/07/05,41270
12/07/12,43058
12/07/20,48387
12/07/23,49092
12/07/31,49893
12/08/01,49743
12/08/08,51999
12/08/09,52758
12/08/10,55932
12/08/14,65415
12/08/15,67155
12/08/22,75533
12/08/23,79817
12/08/27,84114
12/08/29,84989
12/08/30,86990
12/08/31,89223
12/09/03,92900
12/09/04,93525
12/09/05,93563
12/09/06,93455
12/09/07,93541
12/09/10,92049
12/09/11,91701
12/09/12,93363
12/09/13,93429
12/09/17,93841
12/09/18,93922
12/09/19,93946
12/09/20,97426
12/09/21,97427
12/09/24,98302
12/09/25,98209
12/09/26,98343
12/09/27,102041
12/09/28,102050
12/10/01,102521
12/10/02,102514
12/10/03,102560
12/10/04,108487
12/10/05,108290
12/10/08,111344
12/10/09,111325
12/10/10,111359
12/10/11,111251
12/10/12,111275
12/10/15,110887
12/10/17,110910
12/10/18,114820
12/10/19,114517
12/10/22,116225
12/10/23,116296
12/10/29,116568
12/10/30,116658
12/10/31,116794
12/11/01,116771
12/11/02,122774
12/11/04,122731
12/11/05,125621
12/11/06,125675
12/11/07,126919
12/11/08,126744
12/11/09,126751
12/11/11,126467
12/11/12,127478
12/11/13,127444
12/11/14,129559
12/11/15,129586
12/11/16,129626
12/11/17,129664
12/11/18,129684
12/11/19,134892
12/11/20,134887
12/11/21,134916
12/11/22,134934
12/11/23,134937
12/11/24,135260
12/11/25,134977
12/11/26,138574
12/11/27,138581
12/11/28,138571
12/11/29,138594
12/11/30,138579
12/12/01,138609
12/12/04,138644
12/12/05,138670
12/12/06,150456
12/12/07,150476
12/12/08,150473
12/12/09,150482
12/12/10,151244
12/12/11,151795
12/12/13,152972
12/12/14,153008
12/12/16,152981
12/12/17,156481
12/12/18,156546
12/12/19,156557
12/12/20,166696
12/12/21,168142
12/12/24,170338
12/12/25,170362
12/12/26,170398
12/12/27,170445
12/12/28,170422
12/12/29,170468
12/12/31,170912
