DATE,LAT,LONG,HUMANNAME,COUNT,GOLDSTEIN,SAMPLEURL
20130828,33.5,36.3,"Damascus, Dimashq, Syria",270,-8.95888888888889,"http://www.middleeaststar.com/index.php/sid/216832586/scat/940f2bfd509e743b"
20130830,33.5,36.3,"Damascus, Dimashq, Syria",268,-9.565298507462687,"http://www.unionleader.com/article/20130830/NEWS06/130839922"
20130827,33.5,36.3,"Damascus, Dimashq, Syria",254,-9.08700787401575,"http://www.scmp.com/news/world/article/1299913/west-could-attack-syria-within-days-say-sources"
20130829,33.5,36.3,"Damascus, Dimashq, Syria",236,-9.508474576271189,"http://news.yahoo.com/car-bomb-near-damascus-kills-nine-soldiers-ngo-165612427.html"
20130910,33.5,36.3,"Damascus, Dimashq, Syria",220,-9.276363636363639,"http://www.thenewstribune.com/2013/09/10/2776347/france-seeks-un-action-on-syria.html"
20130904,33.5,36.3,"Damascus, Dimashq, Syria",216,-9.223611111111111,"http://www.presstv.ir/detail/2013/09/04/322073/syria-war-prelude-to-wwiii-scenario/"
20130903,33.5,36.3,"Damascus, Dimashq, Syria",207,-9.42705314009662,"http://www.emirates247.com/news/damascus-hotel-hosts-fleeing-families-2013-09-04-1.519785"
20130909,33.5,36.3,"Damascus, Dimashq, Syria",203,-9.22266009852217,"http://www.gopusa.com/news/2013/09/09/grahams-challengers-oppose-syrian-intervention/"
20130826,33.5,36.3,"Damascus, Dimashq, Syria",190,-9.643684210526317,"http://www.cbsnews.com/8301-202_162-57600996/syrias-assad-warns-against-strike-says-it-could-trigger-regional-war/"
20130905,33.5,36.3,"Damascus, Dimashq, Syria",188,-9.118617021276597,"http://www.huffingtonpost.co.uk/2013/09/05/arms-control-syria_n_3864687.html?utm_hp_ref=uk&ir=UK"
20130902,33.5,36.3,"Damascus, Dimashq, Syria",187,-9.508021390374333,"http://www.jewishtimes-sj.com/news/2013-08-30/National_%7C_World_Briefs/Is_Hamas_the_Loser_in_Game_of_Middle_East_Upheaval.html"
20130831,33.5,36.3,"Damascus, Dimashq, Syria",174,-9.404597701149427,"http://www.independent.co.uk/news/world/americas/syria-crisis-america-tells-the-world-we-have-the-evidence--now-we-have-to-punish-assad-8792337.html"
20130908,33.5,36.3,"Damascus, Dimashq, Syria",173,-9.304624277456648,"http://www.huffingtonpost.com/2013/09/08/moveon-syria_n_3890149.html?utm_hp_ref=politics"
20140923,35.95,39.0167,"Raqqa, Ar Raqqah, Syria",173,-9.759537572254336,"SANA news agency website, Damascus/BBC Monitoring/(c) BBC"
20130825,33.5,36.3,"Damascus, Dimashq, Syria",159,-9.423899371069185,"http://sana.sy/eng/22/2013/08/24/498952.htm"
